No. Responden,A.1,A.2,A.3,A.4,A.5,A.6,B.1,B.2,C.1,C.2,C.3,C.4,D.1,D.2,D.3,D.4,D.5,E.1,E.2,E.3,F.1,F.2,F.3,F.4,F.5,F.6,F.7,F.8,Kepuasan Hidup
1,1,30,1,3,1,1,4,4,1,1,2,2.00,4,4,4,2500000,178.57,4,4,5,4,3,4,4,4,3,3,3,Sangat Tidak Puas
2,1,40,1,3,1,5,4,5,2,2,4,2.00,4,4,5,1200000,85.71,4,5,4,4,3,4,4,5,4,4,5,Sangat Tidak Puas
3,1,38,1,3,1,5,4,4,1,2,3,3.00,3,4,5,1600000,114.29,4,4,5,5,4,4,3,3,3,3,4,Sangat Tidak Puas
4,1,27,2,3,1,5,5,4,2,2,4,2.00,4,4,5,1500000,107.14,4,5,4,4,5,5,4,3,4,5,4,Sangat Tidak Puas
5,2,28,2,3,1,5,5,5,3,2,5,1.67,5,4,5,1200000,85.71,4,5,4,4,4,5,3,4,5,5,4,Sangat Tidak Puas
6,1,37,1,2,1,5,4,4,1,2,3,3.00,4,4,5,2000000,142.86,4,4,5,4,3,4,5,4,4,5,4,Sangat Tidak Puas
7,1,25,2,3,1,5,4,4,1,3,4,4.00,4,4,5,1500000,107.14,4,4,5,4,4,3,4,3,4,4,5,Sangat Tidak Puas
8,2,27,2,3,1,3,3,4,3,1,4,1.33,4,4,5,2000000,142.86,4,4,3,4,4,5,5,4,3,4,3,Sangat Tidak Puas
9,1,40,1,3,1,3,3,5,2,2,4,2.00,4,4,5,1800000,128.57,4,4,3,4,4,3,5,4,4,3,5,Sangat Tidak Puas
10,1,27,2,3,1,5,4,4,2,2,4,2.00,4,5,5,1500000,107.14,4,4,5,3,4,3,3,4,3,4,4,Biasa
11,1,45,1,2,1,5,3,4,2,3,5,2.50,3,4,5,1800000,128.57,3,4,4,3,4,4,3,4,4,3,4,Biasa
12,1,38,1,3,1,3,3,5,1,3,4,4.00,3,4,4,1600000,114.29,4,4,4,4,3,4,5,4,4,5,5,Sangat Tidak Puas
13,1,25,2,3,1,5,3,5,2,2,4,2.00,3,4,5,1200000,85.71,4,4,5,4,4,3,4,5,3,4,4,Sangat Tidak Puas
14,2,30,1,3,1,5,2,4,2,1,3,1.50,4,4,4,1500000,107.14,4,4,4,4,4,4,4,4,4,3,3,Sangat Tidak Puas
15,1,28,2,3,1,5,3,4,2,3,5,2.50,4,4,3,1500000,107.14,4,4,4,4,3,4,4,4,4,3,4,Sangat Tidak Puas
16,1,38,1,3,1,5,3,4,1,2,3,3.00,4,4,5,1600000,114.29,4,4,5,4,4,5,4,4,3,4,4,Sangat Tidak Puas
17,1,39,1,3,1,5,4,4,1,2,3,3.00,4,4,4,1800000,128.57,4,4,5,4,4,3,4,4,3,4,4,Sangat Tidak Puas
18,1,40,1,2,1,5,3,4,2,2,4,2.00,3,4,4,2000000,142.86,4,4,4,4,4,3,4,5,4,4,5,Sangat Tidak Puas
19,1,40,1,3,1,2,3,5,1,3,4,4.00,3,4,5,3000000,214.29,4,4,3,4,4,3,4,5,4,4,4,Sangat Tidak Puas
20,1,38,1,3,1,5,3,4,1,2,3,3.00,3,4,5,1600000,114.29,4,4,5,4,3,4,5,4,4,3,3,Sangat Tidak Puas
21,1,38,1,2,1,4,5,5,1,3,4,4.00,4,5,5,2500000,178.57,5,5,5,2,3,4,4,3,4,3,3,Sangat Puas
22,1,45,1,3,1,1,2,5,4,1,5,1.25,4,4,5,3000000,214.29,5,5,4,5,4,4,5,3,4,5,5,Sangat Tidak Puas
23,1,36,1,3,1,3,4,4,2,3,5,2.50,4,5,5,1200000,85.71,4,5,4,4,5,5,4,4,5,5,4,Sangat Tidak Puas
24,1,20,2,3,1,3,5,4,2,1,3,1.50,4,3,5,1200000,85.71,5,4,4,4,4,5,5,4,5,4,3,Sangat Tidak Puas
25,1,28,2,3,1,5,4,5,2,2,4,2.00,3,5,5,1500000,107.14,4,5,4,4,3,4,5,5,4,4,3,Sangat Tidak Puas
26,1,23,1,3,1,5,3,5,1,2,3,3.00,3,4,5,1500000,107.14,4,4,5,4,3,3,4,4,5,4,4,Sangat Tidak Puas
27,1,23,1,3,2,3,4,5,1,1,2,2.00,4,4,4,2500000,178.57,5,4,5,4,5,5,5,4,5,4,4,Sangat Tidak Puas
28,1,23,2,3,1,5,5,3,1,0,1,1.00,4,3,2,1800000,128.57,4,3,3,4,3,4,2,4,2,4,2,Sangat Tidak Puas
29,1,43,1,3,1,3,4,5,3,1,4,1.33,4,4,4,2000000,142.86,4,3,4,4,4,5,4,5,4,4,4,Sangat Tidak Puas
30,1,36,3,3,1,3,4,5,1,1,2,2.00,4,4,3,3500000,250.00,4,4,5,4,4,5,5,5,4,5,4,Sangat Tidak Puas
31,1,28,2,4,1,5,4,5,1,0,1,1.00,4,4,5,1700000,121.43,4,4,5,4,4,4,5,5,4,5,4,Sangat Tidak Puas
32,2,26,1,5,1,1,4,4,2,1,3,1.50,4,4,4,5000000,357.14,4,4,4,4,3,3,3,3,3,2,3,Sangat Tidak Puas
33,1,39,1,3,1,5,4,3,2,2,4,2.00,4,4,4,2000000,142.86,4,3,2,5,3,2,2,4,3,4,2,Sangat Tidak Puas
34,1,27,2,4,1,3,4,4,1,0,1,1.00,4,4,4,3000000,214.29,4,4,4,4,3,3,3,3,3,2,3,Sangat Tidak Puas
35,1,32,1,4,1,3,4,5,2,2,4,2.00,4,4,5,1500000,107.14,5,4,4,3,4,4,5,4,5,4,4,Biasa
36,2,29,1,3,3,5,4,3,2,1,3,1.50,4,4,5,1500000,107.14,4,4,5,4,4,5,4,4,5,4,4,Sangat Tidak Puas
37,1,28,1,3,1,3,4,4,2,1,3,1.50,4,4,5,2000000,142.86,4,4,5,4,4,4,5,3,4,5,4,Sangat Tidak Puas
38,1,30,1,3,1,5,4,5,2,2,4,2.00,4,4,5,1000000,71.43,4,4,3,4,4,5,4,5,4,5,4,Sangat Tidak Puas
39,2,23,1,4,1,3,4,5,2,0,2,1.00,5,4,5,2800000,200.00,4,4,4,4,4,4,4,4,5,4,5,Sangat Tidak Puas
40,1,23,2,3,1,5,4,5,1,0,1,1.00,4,2,4,1500000,107.14,4,3,3,3,3,4,3,3,4,3,4,Biasa
41,1,25,1,3,1,5,5,4,1,2,3,3.00,5,4,4,2500000,178.57,4,4,3,5,4,4,4,5,4,3,4,Sangat Tidak Puas
42,2,23,2,5,1,1,4,5,1,0,1,1.00,4,3,4,2500000,178.57,4,4,3,4,3,3,3,4,3,4,4,Sangat Tidak Puas
43,1,45,1,3,1,4,5,4,2,3,5,2.50,5,4,4,4000000,285.71,4,3,4,4,4,4,4,4,4,4,4,Sangat Tidak Puas
44,1,22,2,3,1,2,4,4,1,0,1,1.00,4,4,4,2800000,200.00,4,4,4,4,4,3,4,3,3,2,3,Sangat Tidak Puas
45,2,35,1,5,1,4,5,5,2,3,5,2.50,4,3,4,7000000,500.00,4,4,3,3,3,2,2,2,4,3,4,Biasa
46,1,36,1,5,1,4,5,5,2,3,5,2.50,4,3,4,7000000,500.00,4,4,3,3,3,2,2,2,4,3,4,Biasa
47,1,40,1,2,1,3,4,4,1,4,5,5.00,3,3,4,3000000,214.29,3,3,3,3,3,3,3,4,3,3,3,Biasa
48,1,38,1,5,1,4,4,4,1,3,4,4.00,4,4,4,3500000,250.00,4,4,4,3,3,3,3,3,4,3,3,Biasa
49,1,35,1,5,1,3,4,4,1,2,3,3.00,3,3,3,2000000,142.86,4,3,3,3,4,4,3,3,3,3,3,Biasa
50,2,27,1,3,1,5,4,5,2,2,4,2.00,5,5,4,2500000,178.57,4,4,4,4,5,4,4,5,4,4,4,Sangat Tidak Puas
51,1,50,1,1,1,5,3,4,1,3,4,4.00,3,3,2,3500000,250.00,3,3,3,3,3,3,3,3,3,4,4,Biasa
52,1,28,1,3,1,4,4,4,1,2,3,3.00,3,3,3,3000000,214.29,3,3,3,3,3,3,3,3,4,3,3,Biasa
53,1,31,1,2,1,5,3,3,2,0,2,1.00,3,3,2,1700000,121.43,3,2,3,3,3,3,3,3,4,4,3,Biasa
54,1,45,1,3,1,3,3,3,1,4,5,5.00,3,3,4,3000000,214.29,3,3,3,3,3,3,3,3,3,4,4,Biasa
55,1,45,1,3,1,3,4,4,2,2,4,2.00,3,4,4,4000000,285.71,4,4,4,3,2,2,2,2,2,3,4,Biasa
56,1,27,1,3,1,5,5,4,1,2,3,3.00,5,4,3,2300000,164.29,5,4,5,4,4,5,5,4,4,4,4,Sangat Tidak Puas
57,2,34,1,3,1,5,4,3,2,2,4,2.00,4,3,3,2000000,142.86,4,3,2,3,4,2,2,3,4,4,2,Biasa
58,2,40,1,3,2,4,2,3,2,3,5,2.50,3,3,4,4000000,285.71,3,4,4,4,3,1,3,1,3,3,3,Sangat Tidak Puas
59,1,27,1,4,1,3,4,4,2,0,2,1.00,4,4,4,2500000,178.57,4,4,4,4,3,3,3,3,3,2,4,Sangat Tidak Puas
60,2,29,1,4,1,3,5,4,2,2,4,2.00,5,4,4,2200000,157.14,5,4,5,4,5,4,5,4,4,4,4,Sangat Tidak Puas
61,1,39,1,3,1,3,4,4,2,2,4,2.00,3,4,4,3000000,214.29,4,5,4,4,3,2,3,2,3,2,3,Sangat Tidak Puas
62,1,27,1,5,1,3,4,5,1,1,2,2.00,4,3,4,2000000,142.86,4,4,3,4,4,4,4,5,4,5,4,Sangat Tidak Puas
63,2,22,2,3,1,3,4,5,1,0,1,1.00,3,4,4,2500000,178.57,4,4,3,4,2,3,3,3,2,3,2,Sangat Tidak Puas
64,2,31,2,5,2,3,5,4,1,0,1,1.00,4,4,5,5000000,357.14,4,4,5,4,4,3,4,3,5,3,4,Sangat Tidak Puas
65,2,23,2,3,1,3,4,4,1,0,1,1.00,4,4,4,2000000,142.86,4,4,4,4,4,4,4,3,3,2,3,Sangat Tidak Puas
66,1,50,1,4,1,1,4,3,1,4,5,5.00,4,4,4,4000000,285.71,3,3,3,3,3,3,3,3,4,3,3,Biasa
67,1,47,1,3,2,4,2,4,2,3,5,2.50,3,3,4,4000000,285.71,3,4,4,4,3,1,3,1,3,3,3,Sangat Tidak Puas
68,2,28,1,4,1,3,4,5,2,1,3,1.50,4,4,2,2000000,142.86,4,3,4,4,3,4,4,4,4,4,3,Sangat Tidak Puas
69,1,24,2,3,1,5,3,3,3,3,6,2.00,3,4,4,1800000,128.57,4,4,5,3,4,4,3,4,4,4,3,Biasa
70,1,45,1,2,1,5,4,4,3,3,6,2.00,3,4,4,1600000,114.29,4,4,5,3,3,4,4,3,4,5,4,Biasa
71,1,29,1,3,1,5,4,4,2,3,5,2.50,3,3,4,1800000,128.57,4,4,5,3,4,4,3,4,4,3,4,Biasa
72,1,23,2,3,1,5,4,4,2,3,5,2.50,3,4,4,1500000,107.14,4,4,4,3,4,4,3,3,4,4,3,Biasa
73,1,32,1,2,1,5,4,4,1,2,3,3.00,3,3,4,1800000,128.57,5,5,4,3,4,4,3,4,4,3,4,Biasa
74,1,24,2,3,1,5,3,3,2,2,4,2.00,3,4,4,1500000,107.14,4,4,5,3,3,4,4,3,3,3,4,Biasa
75,1,25,2,3,1,5,3,3,3,1,4,1.33,3,4,4,1500000,107.14,4,4,4,3,3,4,3,3,4,3,4,Biasa
76,1,30,2,3,1,5,4,4,2,2,4,2.00,3,3,4,1500000,107.14,4,4,3,3,3,4,4,5,4,3,3,Biasa
77,1,23,2,3,1,5,3,4,2,1,3,1.50,3,4,4,1400000,100.00,4,4,5,3,4,4,3,4,4,3,4,Biasa
78,1,23,2,3,1,5,3,4,2,3,5,2.50,3,4,4,1200000,85.71,4,4,4,3,4,3,3,4,4,3,4,Biasa
79,1,30,1,3,1,5,3,3,2,2,4,2.00,4,4,3,1800000,128.57,4,4,4,3,3,4,3,4,4,3,4,Biasa
80,1,25,1,3,1,3,3,4,2,2,4,2.00,3,3,4,1800000,128.57,4,4,4,3,3,4,4,3,4,4,4,Biasa
81,2,28,1,3,1,5,3,5,2,1,3,1.50,3,4,5,1200000,85.71,4,4,4,3,3,4,3,3,4,4,3,Biasa
82,1,40,1,2,1,5,3,4,2,2,4,2.00,3,3,4,1800000,128.57,4,4,4,3,3,3,4,4,3,3,4,Biasa
83,1,23,2,3,1,5,3,4,2,2,4,2.00,3,4,4,1600000,114.29,3,4,4,3,3,4,5,4,3,4,3,Biasa
84,1,28,1,3,1,2,3,3,1,2,3,3.00,3,3,4,3000000,214.29,3,4,4,3,3,4,3,3,4,3,4,Biasa
85,1,29,2,3,1,3,4,3,2,3,5,2.50,3,4,3,1800000,128.57,4,4,3,3,3,3,3,4,3,3,3,Biasa
86,1,29,2,3,1,5,3,3,2,2,4,2.00,3,4,4,1500000,107.14,4,4,3,3,4,4,3,3,4,3,3,Biasa
87,1,31,1,3,1,5,3,3,2,1,3,1.50,4,4,3,1400000,100.00,3,3,4,3,3,4,4,4,3,3,4,Biasa
88,2,25,2,3,1,5,3,4,2,2,4,2.00,4,4,5,1600000,114.29,4,4,3,3,4,4,4,3,3,4,3,Biasa
89,1,29,2,3,1,5,3,4,3,2,5,1.67,3,3,4,2000000,142.86,3,3,4,3,3,4,4,3,3,4,4,Biasa
90,1,30,2,3,1,5,3,3,3,2,5,1.67,3,3,4,2500000,178.57,4,4,3,3,3,4,4,3,3,3,3,Biasa
91,1,40,1,2,1,5,3,3,2,2,4,2.00,4,4,3,2000000,142.86,4,4,3,3,3,4,4,3,3,3,4,Biasa
92,1,35,1,3,1,1,3,3,2,2,4,2.00,3,4,4,2500000,178.57,3,3,4,3,3,3,4,4,3,4,4,Biasa
93,1,36,1,3,1,3,4,4,3,2,5,1.67,4,4,4,1800000,128.57,4,4,4,4,3,2,3,2,3,4,4,Sangat Tidak Puas
94,2,34,1,5,1,1,4,4,2,2,4,2.00,4,4,4,2500000,178.57,4,3,4,4,2,3,3,2,3,4,4,Sangat Tidak Puas
95,1,35,1,3,1,3,4,4,2,1,3,1.50,4,4,3,1500000,107.14,4,3,4,5,2,3,4,3,3,4,4,Sangat Tidak Puas
96,1,38,1,5,1,2,4,4,1,4,5,5.00,4,4,4,3000000,214.29,4,4,5,5,2,3,3,2,3,4,4,Sangat Tidak Puas
97,1,35,1,5,1,1,4,4,2,2,4,2.00,4,4,4,2500000,178.57,4,3,4,4,2,3,3,2,3,2,2,Sangat Tidak Puas
98,1,38,1,3,1,4,4,4,1,3,4,4.00,4,4,4,1700000,121.43,4,4,3,4,4,3,4,3,4,4,5,Sangat Tidak Puas
99,1,39,1,2,1,4,4,4,1,3,4,4.00,4,4,4,1800000,128.57,4,4,4,4,4,3,4,3,4,4,5,Sangat Tidak Puas
100,1,40,1,2,1,3,4,4,1,2,3,3.00,4,4,3,2500000,178.57,4,3,4,4,3,3,4,3,2,2,4,Sangat Tidak Puas
101,1,36,1,3,1,3,5,5,1,4,5,5.00,5,4,4,2500000,178.57,4,4,4,4,4,4,3,4,4,4,4,Sangat Tidak Puas
102,1,38,1,3,1,5,4,4,3,3,6,2.00,4,4,4,2000000,142.86,4,4,4,4,4,4,4,4,4,4,4,Sangat Tidak Puas
103,1,38,2,3,1,3,4,4,1,1,2,2.00,4,4,4,3000000,214.29,4,4,4,4,4,3,3,3,4,4,4,Sangat Tidak Puas
104,1,46,1,3,1,3,4,4,4,0,4,1.00,4,4,4,2000000,142.86,4,4,4,2,3,2,2,2,2,2,2,Sangat Puas
105,1,30,1,3,1,3,4,4,1,1,2,2.00,4,4,4,2000000,142.86,4,4,4,4,4,3,4,4,4,3,4,Sangat Tidak Puas
106,1,37,1,3,1,3,3,3,1,4,5,5.00,4,3,2,1600000,114.29,4,3,4,4,3,4,4,4,4,4,4,Sangat Tidak Puas
107,1,46,1,3,1,4,4,4,3,2,5,1.67,4,4,4,3000000,214.29,4,4,4,2,2,2,2,2,2,4,4,Sangat Puas
108,1,56,1,3,1,1,4,4,3,3,6,2.00,4,4,4,3300000,235.71,4,4,4,2,2,2,2,2,2,2,2,Sangat Puas
109,2,30,1,5,1,5,4,5,2,3,5,2.50,2,3,2,2000000,142.86,4,4,4,3,2,2,3,3,2,2,2,Biasa
110,1,50,1,3,1,1,4,4,1,1,2,2.00,4,4,4,2800000,200.00,3,2,1,3,2,1,1,1,2,1,1,Biasa
111,2,48,1,5,1,1,4,5,3,3,6,2.00,3,3,3,3300000,235.71,4,3,4,5,2,3,3,4,2,4,4,Sangat Tidak Puas
112,1,30,1,3,1,3,4,3,1,2,3,3.00,4,3,3,1600000,114.29,5,3,3,5,4,4,4,4,3,4,3,Sangat Tidak Puas
113,1,35,1,5,1,3,4,4,1,4,5,5.00,4,4,4,2000000,142.86,4,3,5,4,3,2,4,3,2,4,4,Sangat Tidak Puas
114,1,25,1,3,1,3,4,4,1,1,2,2.00,3,3,3,1300000,92.86,3,4,3,3,3,3,4,4,3,4,2,Biasa
115,1,25,1,3,1,3,3,5,2,0,2,1.00,3,3,3,1550000,110.71,4,4,3,1,1,1,1,1,1,1,1,Sangat Puas
116,1,56,1,3,1,4,5,5,1,1,2,2.00,4,4,3,800000,57.14,4,4,4,3,4,3,3,3,4,3,3,Biasa
117,1,53,1,1,1,4,4,4,1,1,2,2.00,4,4,4,850000,60.71,4,4,4,2,2,2,2,2,4,2,2,Sangat Puas
118,2,23,2,4,1,3,2,3,2,1,3,1.50,4,4,3,1500000,107.14,4,3,4,4,3,2,2,2,2,3,3,Sangat Tidak Puas
119,1,21,2,3,1,3,3,3,3,3,6,2.00,3,3,3,720000,51.43,3,3,3,3,3,2,3,2,2,3,3,Biasa
120,1,35,1,5,1,5,4,4,1,3,4,4.00,3,3,3,5000000,357.14,4,3,3,4,3,3,2,2,3,4,5,Sangat Tidak Puas
121,1,30,1,5,1,3,4,4,1,2,3,3.00,4,4,4,2500000,178.57,4,4,3,4,3,2,2,2,3,4,4,Sangat Tidak Puas
122,1,37,1,2,1,4,4,3,1,2,3,3.00,4,4,3,1500000,107.14,4,3,3,4,2,3,3,2,3,4,4,Sangat Tidak Puas
123,1,38,1,2,1,4,4,4,2,2,4,2.00,4,4,3,1800000,128.57,4,4,3,4,3,3,3,3,3,4,4,Sangat Tidak Puas
124,1,40,1,5,1,1,4,4,2,1,3,1.50,4,4,4,2500000,178.57,4,3,3,4,3,3,2,2,3,2,3,Sangat Tidak Puas
125,1,38,1,3,1,5,4,4,2,3,5,2.50,4,3,4,1400000,100.00,4,4,3,4,3,3,2,2,3,4,4,Sangat Tidak Puas
126,1,37,1,2,1,4,4,4,1,3,4,4.00,4,3,4,1700000,121.43,4,4,4,4,4,3,3,3,4,4,4,Sangat Tidak Puas
127,1,38,1,2,1,4,4,3,1,3,4,4.00,4,4,3,1400000,100.00,4,4,3,4,4,2,3,2,3,4,4,Sangat Tidak Puas
